@relation 'yeast'

@attribute mcg real
@attribute gvh real
@attribute alm real
@attribute mit real
@attribute erl real
@attribute pox real
@attribute vac real
@attribute nuc real
@attribute class {cyt,nuc,mit,me3,me2,me1,exc,vac,pox,erl}

@data
0.54,0.52,0.63,0.37,0.50,0.00,0.46,0.22,mit
0.67,0.62,0.40,0.43,0.50,0.83,0.50,0.22,mit
0.28,0.58,0.21,0.13,0.50,0.00,0.51,0.22,me3
0.39,0.44,0.35,0.16,0.50,0.00,0.55,0.22,me3
0.80,0.63,0.45,0.29,0.50,0.00,0.51,0.22,exc
0.50,0.52,0.59,0.30,0.50,0.00,0.51,0.35,nuc
0.42,0.47,0.52,0.41,0.50,0.00,0.53,0.32,cyt
0.36,0.46,0.62,0.46,0.50,0.00,0.51,0.33,cyt
0.46,0.38,0.47,0.22,0.50,0.00,0.52,0.27,mit
0.40,0.45,0.56,0.20,0.50,0.00,0.45,0.22,cyt
0.33,0.43,0.64,0.16,0.50,0.00,0.52,0.52,nuc
0.49,0.61,0.49,0.25,0.50,0.00,0.50,0.28,cyt
0.38,0.50,0.37,0.26,0.50,0.00,0.43,0.22,me3
0.69,0.70,0.52,0.36,0.50,0.00,0.46,0.22,exc
0.61,0.72,0.39,0.33,0.50,0.00,0.58,0.22,mit
0.78,0.75,0.40,0.28,0.50,0.00,0.53,0.22,mit
0.64,0.57,0.57,0.27,0.50,0.00,0.37,0.22,cyt
0.36,0.58,0.35,0.24,0.50,0.00,0.44,0.22,me3
0.36,0.43,0.39,0.12,0.50,0.00,0.49,0.22,me3
0.47,0.52,0.50,0.40,0.50,0.00,0.41,0.22,cyt
0.48,0.23,0.57,0.27,0.50,0.00,0.48,0.47,nuc
0.47,0.39,0.55,0.24,0.50,0.00,0.47,0.22,cyt
0.44,0.59,0.36,0.16,0.50,0.00,0.52,0.22,me3
0.42,0.35,0.54,0.18,0.50,0.00,0.56,0.22,cyt
0.30,0.56,0.55,0.18,0.50,0.00,0.50,0.22,cyt
0.65,0.65,0.52,0.16,0.50,0.00,0.60,0.22,cyt
0.27,0.60,0.48,0.23,0.50,0.00,0.55,0.22,cyt
0.45,0.41,0.50,0.46,0.50,0.50,0.50,0.27,pox
0.44,0.52,0.41,0.23,0.50,0.00,0.51,0.22,nuc
0.30,0.32,0.57,0.19,0.50,0.00,0.48,0.55,nuc
0.40,0.44,0.49,0.47,0.50,0.00,0.49,0.27,nuc
0.45,0.51,0.50,0.16,0.50,0.00,0.52,1.00,nuc
0.45,0.45,0.50,0.60,0.50,0.00,0.49,0.22,mit
0.59,0.67,0.56,0.41,0.50,0.00,0.47,0.22,mit
0.47,0.47,0.57,0.48,0.50,0.00,0.48,0.22,mit
0.35,0.52,0.48,0.22,0.50,0.00,0.26,0.22,mit
0.47,0.41,0.66,0.26,0.50,0.00,0.53,0.22,mit
0.64,0.62,0.29,0.28,0.50,0.00,0.51,0.22,mit
0.55,0.53,0.55,0.46,0.50,0.00,0.52,0.22,mit
0.67,0.62,0.54,0.43,0.50,0.00,0.53,0.22,mit
0.59,0.60,0.49,0.43,0.50,0.00,0.53,0.31,mit
0.54,0.55,0.34,0.31,0.50,0.00,0.54,0.22,me3
0.58,0.62,0.54,0.17,0.50,0.00,0.48,0.22,mit
0.40,0.38,0.53,0.16,0.50,0.00,0.52,0.27,nuc
0.46,0.71,0.48,0.53,0.50,0.00,0.53,0.22,mit
0.53,0.51,0.55,0.05,0.50,0.00,0.45,0.25,nuc
0.41,0.40,0.59,0.47,0.50,0.00,0.48,0.43,cyt
0.50,0.64,0.57,0.15,0.50,0.00,0.47,0.22,cyt
0.40,0.62,0.52,0.31,0.50,0.00,0.49,0.31,cyt
0.60,0.50,0.57,0.25,0.50,0.00,0.41,0.26,cyt
0.62,0.51,0.52,0.42,0.50,0.00,0.54,0.27,nuc
0.35,0.58,0.54,0.16,0.50,0.00,0.51,0.22,nuc
0.34,0.54,0.50,0.21,0.50,0.00,0.54,0.31,cyt
0.39,0.58,0.50,0.26,0.50,0.00,0.54,0.59,me3
0.48,0.54,0.50,0.17,0.50,0.00,0.53,0.22,nuc
0.29,0.32,0.58,0.15,0.50,0.00,0.50,0.30,cyt
0.47,0.32,0.64,0.30,0.50,0.00,0.63,0.22,nuc
0.39,0.47,0.56,0.16,0.50,0.00,0.47,0.22,cyt
0.58,0.48,0.51,0.47,0.50,0.00,0.55,0.22,nuc
0.64,0.60,0.57,0.19,0.50,0.00,0.43,0.22,nuc
0.37,0.46,0.40,0.27,0.50,0.00,0.45,0.22,nuc
0.43,0.57,0.53,0.16,0.50,0.00,0.54,0.22,cyt
0.28,0.37,0.61,0.09,0.50,0.00,0.52,0.55,nuc
0.59,0.48,0.50,0.14,0.50,0.00,0.45,0.25,cyt
0.39,0.55,0.48,0.31,0.50,0.00,0.54,0.29,cyt
0.26,0.36,0.47,0.34,0.50,0.00,0.53,0.72,nuc
0.51,0.34,0.50,0.19,0.50,0.00,0.50,0.22,nuc
0.58,0.50,0.50,0.12,0.50,0.00,0.48,0.25,nuc
0.44,0.39,0.53,0.14,0.50,0.00,0.54,0.44,cyt
0.41,0.39,0.44,0.34,0.50,0.00,0.48,0.40,nuc
0.45,0.43,0.51,0.24,0.50,0.00,0.54,0.33,cyt
0.36,0.68,0.46,0.16,0.50,0.00,0.53,0.28,nuc
0.42,0.31,0.50,0.15,0.50,0.00,0.53,0.22,nuc
0.42,0.43,0.56,0.10,0.50,0.00,0.49,0.22,cyt
0.67,0.71,0.52,0.65,0.50,0.00,0.53,0.36,nuc
0.49,0.47,0.53,0.16,0.50,0.00,0.48,0.27,nuc
0.71,0.59,0.48,0.43,0.50,0.00,0.59,0.22,mit
0.40,0.42,0.71,0.21,0.50,0.00,0.54,0.32,cyt
0.40,0.42,0.71,0.21,0.50,0.00,0.54,0.32,cyt
0.54,0.49,0.49,0.20,0.50,0.00,0.52,0.22,cyt
0.42,0.51,0.50,0.12,0.50,0.00,0.52,0.46,nuc
0.57,0.51,0.53,0.18,0.50,0.00,0.56,0.25,nuc
0.35,0.45,0.43,0.11,0.50,0.00,0.56,0.22,me3
0.42,0.42,0.42,0.20,0.50,0.00,0.49,0.22,me3
0.26,0.50,0.33,0.28,0.50,0.00,0.51,0.22,me3
0.39,0.42,0.38,0.40,0.50,0.00,0.49,0.47,me3
0.26,0.44,0.30,0.11,0.50,0.00,0.51,0.47,me3
0.31,0.44,0.53,0.23,0.50,0.00,0.51,0.32,nuc
0.48,0.61,0.44,0.20,0.50,0.00,0.47,0.22,cyt
0.66,0.45,0.50,0.23,0.50,0.00,0.49,0.22,cyt
0.21,0.41,0.55,0.11,0.50,0.00,0.50,0.27,cyt
0.38,0.68,0.44,0.45,0.50,0.00,0.53,0.22,mit
0.44,0.38,0.48,0.32,0.50,0.83,0.53,0.22,pox
0.31,0.31,0.56,0.33,0.50,0.00,0.52,0.33,nuc
0.49,0.31,0.49,0.35,0.50,0.00,0.51,0.29,nuc
0.38,0.37,0.56,0.21,0.50,0.00,0.49,0.22,nuc
0.39,0.40,0.53,0.67,0.50,0.00,0.47,0.22,cyt
0.24,0.34,0.69,0.18,0.50,0.00,0.52,0.22,cyt
0.49,0.43,0.51,0.13,0.50,0.00,0.47,0.22,cyt
0.54,0.38,0.52,0.18,0.50,0.00,0.48,0.22,cyt
0.43,0.57,0.53,0.53,0.50,0.00,0.53,0.25,cyt
0.48,0.64,0.61,0.23,0.50,0.00,0.60,0.22,cyt
0.31,0.55,0.52,0.17,0.50,0.00,0.52,0.22,cyt
0.32,0.57,0.50,0.15,0.50,0.00,0.53,0.22,cyt
0.32,0.42,0.52,0.24,0.50,0.00,0.60,0.22,cyt
0.59,0.50,0.52,0.28,0.50,0.00,0.55,0.25,cyt
0.37,0.42,0.51,0.11,0.50,0.00,0.57,0.22,cyt
0.75,0.70,0.38,0.27,0.50,0.00,0.49,0.22,me1
0.61,0.72,0.31,0.33,0.50,0.00,0.56,0.22,mit
0.44,0.42,0.60,0.21,0.50,0.00,0.57,0.22,cyt
0.52,0.51,0.51,0.54,0.50,0.00,0.55,0.27,mit
0.63,0.56,0.45,0.58,0.50,0.00,0.51,0.22,mit
0.52,0.56,0.54,0.53,0.50,0.00,0.45,0.22,mit
0.58,0.58,0.58,0.49,0.50,0.00,0.49,0.26,mit
0.72,0.62,0.34,0.29,0.50,0.00,0.56,0.28,mit
0.72,0.61,0.37,0.30,0.50,0.00,0.57,0.22,mit
0.46,0.43,0.38,0.33,0.50,0.00,0.48,0.28,mit
0.57,0.57,0.44,0.37,0.50,0.00,0.52,0.25,mit
0.42,0.31,0.62,0.12,0.50,0.00,0.40,0.22,mit
0.49,0.46,0.45,0.45,0.50,0.00,0.52,0.22,mit
0.42,0.58,0.41,0.65,0.50,0.00,0.46,0.26,mit
0.59,0.61,0.34,0.22,0.50,0.00,0.51,0.22,mit
0.52,0.77,0.38,0.34,0.50,0.00,0.51,0.22,mit
0.50,0.52,0.60,0.51,0.50,0.00,0.48,0.22,mit
0.49,0.60,0.43,0.56,0.50,0.00,0.36,0.22,mit
0.50,0.41,0.44,0.50,0.50,0.00,0.42,0.22,mit
0.50,0.40,0.56,0.70,0.50,0.00,0.50,0.22,mit
0.37,0.58,0.44,0.51,0.50,0.00,0.44,0.22,mit
0.55,0.45,0.45,0.54,0.50,0.00,0.50,0.22,mit
0.67,0.68,0.46,0.29,0.50,0.00,0.46,0.22,mit
0.53,0.51,0.46,0.28,0.50,0.00,0.48,0.22,cyt
0.35,0.66,0.49,0.21,0.50,0.00,0.54,0.25,cyt
0.52,0.40,0.60,0.12,0.50,0.00,0.55,0.22,cyt
0.77,0.79,0.58,0.23,0.50,0.00,0.48,0.22,exc
0.47,0.46,0.59,0.49,0.50,0.00,0.56,0.22,mit
0.73,0.83,0.43,0.30,0.50,0.00,0.55,0.22,me1
0.78,0.74,0.58,0.25,1.00,0.00,0.53,0.22,erl
0.70,0.65,0.54,0.28,0.50,0.00,0.60,0.40,vac
0.47,0.54,0.37,0.14,0.50,0.00,0.50,0.22,me3
0.56,0.52,0.48,0.17,0.50,0.00,0.46,0.22,nuc
0.57,0.41,0.59,0.24,0.50,0.00,0.40,0.22,cyt
0.56,0.41,0.58,0.21,0.50,0.00,0.42,0.22,cyt
0.58,0.56,0.45,0.12,0.50,0.00,0.51,0.22,nuc
0.53,0.38,0.66,0.25,0.50,0.00,0.43,0.22,nuc
0.34,0.36,0.54,0.11,0.50,0.00,0.36,0.21,nuc
0.69,0.61,0.38,0.27,0.50,0.00,0.52,0.22,me2
0.37,0.53,0.60,0.19,0.50,0.50,0.42,0.22,pox
0.41,0.45,0.53,0.17,0.50,0.00,0.51,0.25,nuc
0.31,0.46,0.54,0.52,0.50,0.00,0.50,0.34,nuc
0.36,0.37,0.33,0.14,0.50,0.00,0.57,0.31,me3
0.82,0.78,0.49,0.23,0.50,0.00,0.46,0.22,exc
0.82,0.75,0.54,0.23,0.50,0.00,0.46,0.22,exc
0.41,0.51,0.58,0.15,0.50,0.00,0.45,0.27,cyt
0.38,0.51,0.75,0.17,0.50,0.00,0.55,0.22,cyt
0.38,0.51,0.75,0.17,0.50,0.00,0.55,0.22,cyt
0.53,0.44,0.51,0.33,0.50,0.00,0.52,0.22,mit
0.46,0.54,0.71,0.15,0.50,0.00,0.59,0.22,mit
0.40,0.56,0.48,0.14,0.50,0.00,0.47,0.22,mit
0.53,0.53,0.60,0.13,0.50,0.00,0.49,0.22,mit
0.42,0.57,0.72,0.22,0.50,0.00,0.57,0.22,mit
0.45,0.27,0.57,0.36,0.50,0.00,0.52,0.18,cyt
0.20,0.26,0.52,0.14,0.50,0.00,0.53,0.44,cyt
0.51,0.53,0.55,0.14,0.50,0.00,0.51,0.22,cyt
0.44,0.68,0.45,0.51,0.50,0.00,0.52,0.41,mit
0.27,0.39,0.66,0.11,0.50,0.00,0.44,0.22,mit
0.55,0.42,0.34,0.30,0.50,0.00,0.52,0.22,me3
0.34,0.42,0.30,0.23,0.50,0.00,0.53,0.22,me3
0.44,0.53,0.52,0.23,0.50,0.83,0.51,0.22,pox
0.59,0.58,0.56,0.21,0.50,0.00,0.54,0.33,nuc
0.39,0.28,0.46,0.12,0.50,0.00,0.41,0.22,nuc
0.56,0.43,0.54,0.16,0.50,0.00,0.50,0.22,nuc
0.36,0.68,0.38,0.08,0.50,0.00,0.53,0.25,vac
0.27,0.36,0.60,0.33,0.50,0.00,0.37,0.31,nuc
0.35,0.40,0.59,0.22,0.50,0.00,0.47,0.37,nuc
0.42,0.32,0.50,0.21,0.50,0.00,0.51,0.22,nuc
0.23,0.20,0.53,0.20,0.50,0.00,0.44,0.22,nuc
0.55,0.54,0.56,0.22,0.50,0.00,0.50,0.37,nuc
0.36,0.24,0.49,0.16,0.50,0.00,0.51,0.22,nuc
0.38,0.48,0.59,0.22,0.50,0.00,0.46,0.22,cyt
0.80,0.46,0.50,0.15,0.50,0.00,0.53,0.22,cyt
0.60,0.56,0.47,0.20,0.50,0.00,0.50,0.38,nuc
0.41,0.24,0.54,0.26,0.50,0.00,0.41,0.22,nuc
0.47,0.65,0.54,0.62,0.50,0.00,0.53,0.36,mit
0.43,0.39,0.54,0.14,0.50,0.00,0.47,0.22,nuc
0.50,0.51,0.52,0.09,0.50,0.00,0.48,0.25,nuc
0.53,0.61,0.52,0.21,0.50,0.00,0.55,0.30,nuc
0.54,0.42,0.41,0.16,0.50,0.00,0.52,0.22,me2
0.46,0.35,0.53,0.16,0.50,0.00,0.51,0.29,cyt
0.46,0.43,0.49,0.79,0.50,0.00,0.49,0.63,nuc
0.51,0.55,0.35,0.16,0.50,0.00,0.51,0.47,me3
0.56,0.52,0.55,0.19,0.50,0.00,0.54,0.22,cyt
0.61,0.30,0.59,0.12,0.50,0.00,0.49,0.27,nuc
0.37,0.53,0.46,0.23,0.50,0.00,0.47,0.22,nuc
0.83,0.58,0.33,0.04,0.50,0.00,0.53,0.22,me2
0.39,0.45,0.53,0.18,0.50,0.00,0.54,0.22,cyt
0.52,0.54,0.50,0.21,0.50,0.00,0.48,0.30,cyt
0.35,0.39,0.57,0.11,0.50,0.00,0.48,0.22,nuc
0.36,0.49,0.30,0.22,0.50,0.00,0.52,0.31,me3
0.78,0.70,0.32,0.23,0.50,0.00,0.53,0.22,me1
0.55,0.46,0.53,0.11,0.50,0.00,0.52,0.48,cyt
0.45,0.56,0.54,0.32,0.50,0.00,0.57,0.22,cyt
0.45,0.56,0.53,0.32,0.50,0.00,0.57,0.22,cyt
0.29,0.43,0.40,0.15,0.50,0.00,0.53,0.22,me3
0.52,0.75,0.37,0.14,0.50,0.00,0.46,0.22,me3
0.71,0.56,0.39,0.27,0.50,0.00,0.52,0.22,me2
0.58,0.60,0.43,0.12,0.50,0.00,0.55,0.22,me3
0.54,0.65,0.49,0.34,0.50,0.00,0.52,0.22,cyt
0.57,0.59,0.44,0.16,0.50,0.00,0.52,0.22,me2
0.59,0.58,0.46,0.19,0.50,0.00,0.56,0.27,cyt
0.92,0.61,0.40,0.22,0.50,0.00,0.54,0.22,me2
0.55,0.56,0.45,0.14,0.50,0.00,0.54,0.22,cyt
0.63,0.61,0.41,0.22,0.50,0.00,0.51,0.22,me3
0.58,0.53,0.38,0.18,0.50,0.00,0.52,0.22,me3
0.36,0.46,0.43,0.19,0.50,0.00,0.48,0.22,me3
0.32,0.47,0.55,0.12,0.50,0.00,0.52,0.22,cyt
0.34,0.38,0.45,0.19,0.50,0.00,0.51,0.22,me2
0.62,0.58,0.46,0.13,0.50,0.00,0.53,0.22,cyt
0.53,0.68,0.42,0.19,0.50,0.00,0.53,0.22,me3
0.73,0.55,0.41,0.16,0.50,0.00,0.46,0.22,me2
0.55,0.46,0.46,0.31,0.50,0.00,0.58,0.48,nuc
0.35,0.60,0.47,0.13,0.50,0.00,0.52,0.43,nuc
0.77,0.80,0.51,0.40,1.00,0.00,0.54,0.22,erl
0.77,0.87,0.47,0.37,0.50,0.00,0.48,0.22,exc
0.35,0.46,0.49,0.15,1.00,0.00,0.55,0.35,cyt
0.43,0.51,0.48,0.14,0.50,0.00,0.50,0.22,cyt
0.57,0.61,0.45,0.26,0.50,0.00,0.50,0.22,cyt
0.63,0.62,0.42,0.12,0.50,0.00,0.52,0.25,cyt
0.25,0.40,0.51,0.18,0.50,0.00,0.50,0.27,cyt
0.56,0.62,0.53,0.24,0.50,0.00,0.57,0.22,cyt
0.58,0.60,0.51,0.24,0.50,0.00,0.53,0.22,cyt
0.71,0.59,0.53,0.15,0.50,0.00,0.49,0.33,cyt
0.46,0.35,0.33,0.17,0.50,0.00,0.55,0.22,me3
0.54,0.55,0.42,0.22,0.50,0.00,0.48,0.22,me3
0.39,0.44,0.28,0.12,0.50,0.00,0.46,0.27,me3
0.33,0.44,0.49,0.08,0.50,0.00,0.48,0.49,nuc
0.81,0.82,0.41,0.36,0.50,0.00,0.39,0.22,exc
0.69,0.60,0.51,0.13,0.50,0.83,0.52,0.22,pox
0.46,0.48,0.44,0.21,0.50,0.00,0.55,0.22,pox
0.35,0.36,0.57,0.17,0.50,0.00,0.52,0.22,cyt
0.74,0.72,0.47,0.25,0.50,0.00,0.57,0.22,me1
0.54,0.57,0.52,0.19,0.50,0.00,0.59,0.67,nuc
0.42,0.52,0.40,0.17,0.50,0.00,0.50,0.26,me3
0.91,0.77,0.34,0.47,0.50,0.00,0.52,0.31,me1
0.81,0.90,0.39,0.41,0.50,0.00,0.53,0.22,me2
0.45,0.40,0.56,0.14,0.50,0.00,0.54,0.22,cyt
0.47,0.47,0.58,0.16,0.50,0.00,0.49,0.28,cyt
0.41,0.39,0.51,0.52,0.50,0.00,0.49,0.22,cyt
0.37,0.34,0.32,0.22,0.50,0.00,0.56,0.22,me3
0.69,0.60,0.50,0.31,0.50,0.00,0.55,0.22,cyt
0.35,0.56,0.36,0.30,0.50,0.00,0.53,0.25,me3
0.84,0.66,0.36,0.78,0.50,0.00,0.49,0.50,me1
0.51,0.58,0.54,0.29,0.50,0.00,0.53,0.22,cyt
0.37,0.43,0.62,0.27,0.50,0.00,0.48,0.22,nuc
0.55,0.66,0.57,0.32,0.50,0.00,0.57,0.34,cyt
0.48,0.35,0.42,0.21,0.50,0.00,0.57,0.22,cyt
0.62,0.58,0.52,0.15,0.50,0.00,0.52,0.29,cyt
0.56,0.59,0.53,0.16,0.50,0.00,0.24,0.42,nuc
0.44,0.51,0.37,0.15,0.50,0.00,0.51,0.22,me3
0.44,0.44,0.49,0.15,0.50,0.00,0.46,0.27,nuc
0.50,0.50,0.48,0.17,0.50,0.00,0.47,0.26,cyt
0.60,0.60,0.49,0.30,0.50,0.00,0.53,0.22,nuc
0.49,0.46,0.34,0.21,0.50,0.00,0.55,0.22,me3
0.35,0.68,0.57,0.40,0.50,0.00,0.53,0.36,nuc
0.70,0.69,0.43,0.33,0.50,0.00,0.58,0.22,me1
0.23,0.30,0.58,0.22,0.50,0.00,0.48,0.27,nuc
0.45,0.42,0.52,0.20,0.50,0.00,0.50,0.25,cyt
0.51,0.35,0.46,0.15,0.50,0.00,0.51,0.42,cyt
0.42,0.39,0.47,0.13,0.50,0.00,0.50,0.27,cyt
0.32,0.38,0.52,0.20,0.50,0.00,0.52,0.28,cyt
0.59,0.65,0.52,0.30,0.50,0.00,0.46,0.31,cyt
0.41,0.52,0.41,0.11,0.50,0.00,0.54,0.35,cyt
0.37,0.33,0.50,0.12,0.50,0.00,0.51,0.54,cyt
0.45,0.56,0.49,0.17,0.50,0.00,0.52,0.22,cyt
0.56,0.54,0.59,0.14,0.50,0.00,0.52,0.27,nuc
0.31,0.31,0.54,0.18,0.50,0.00,0.52,0.29,nuc
0.27,0.51,0.47,0.35,0.50,0.00,0.49,0.28,nuc
0.54,0.56,0.57,0.18,0.50,0.00,0.45,0.25,nuc
0.17,0.38,0.45,0.09,0.50,0.00,0.54,0.27,nuc
0.43,0.51,0.54,0.15,0.50,0.00,0.45,0.26,nuc
0.60,0.40,0.59,0.18,0.50,0.00,0.48,0.22,cyt
0.91,0.69,0.57,0.45,0.50,0.00,0.56,0.22,me2
0.38,0.47,0.53,0.12,0.50,0.00,0.48,0.22,cyt
0.59,0.43,0.52,0.19,0.50,0.00,0.55,0.27,cyt
0.64,0.53,0.45,0.13,0.50,0.00,0.53,0.22,cyt
0.49,0.31,0.34,0.13,0.50,0.00,0.52,0.22,me3
0.52,0.51,0.51,0.12,0.50,0.00,0.51,0.40,cyt
0.49,0.43,0.48,0.15,0.50,0.00,0.55,0.25,cyt
0.49,0.47,0.52,0.16,0.50,0.00,0.53,0.28,cyt
0.48,0.39,0.49,0.18,0.50,0.00,0.51,0.22,cyt
0.44,0.34,0.55,0.18,0.50,0.00,0.52,0.22,cyt
0.43,0.54,0.58,0.16,0.50,0.00,0.50,0.36,nuc
0.49,0.42,0.54,0.17,0.50,0.00,0.50,0.36,cyt
0.34,0.66,0.51,0.16,0.50,0.00,0.47,0.33,nuc
0.20,0.34,0.33,0.10,0.50,0.00,0.48,0.31,me3
0.74,0.53,0.50,0.08,0.50,0.00,0.55,0.31,cyt
0.69,0.48,0.38,0.15,0.50,0.00,0.55,0.22,me2
0.30,0.50,0.47,0.11,0.50,0.00,0.46,0.22,cyt
0.44,0.51,0.48,0.38,0.50,0.00,0.52,0.22,cyt
0.31,0.45,0.50,0.17,0.50,0.00,0.49,0.22,cyt
0.55,0.41,0.56,0.21,0.50,0.00,0.52,0.22,cyt
0.40,0.34,0.52,0.17,0.50,0.00,0.47,0.51,nuc
0.40,0.48,0.50,0.17,0.50,0.00,0.54,0.50,cyt
0.58,0.48,0.56,0.10,0.50,0.00,0.46,0.25,nuc
